question,ground_truth,contexts,answer
মহাভারতের শুরুতে হস্তিনাপুরের শাসক কে ছিলেন?,রাজা শান্তনু।,,
ভীষ্ম কী ব্রত নিয়েছিলেন এবং কেন?,ভীষ্ম তার পিতার সুখ নিশ্চিত করতে এবং তার পিতা শান্তনুকে সত্যবতীকে বিয়ে করার অনুমতি দেওয়ার জন্য ব্রহ্মচর্যের ব্রত নিয়েছিলেন।,,
রাজা শান্তনু ও সত্যবতীর পুত্র কারা ছিলেন?,চিত্রাঙ্গদা ও বিচিত্রবীর্য।,,
ধৃতরাষ্ট্র ও পাণ্ডুর অস্তিত্ব কীভাবে হয়েছিল?,"ধৃতরাষ্ট্র এবং পাণ্ডুর জন্ম নিয়োগের মাধ্যমে, একটি অনুশীলন যেখানে ব্যাস বিচিত্রবীর্যের মৃত্যুর কারণে রাণী অম্বিকা এবং অম্বালিকার সাথে সন্তানের জন্ম দিয়েছিলেন।",,
মহাভারতে কুন্তীর ঐশ্বরিক আশীর্বাদের তাৎপর্য কী ছিল?,"কুন্তী দেবতাদের থেকে পুত্র সন্তান জন্ম দেওয়ার জন্য ঐশ্বরিক বর ব্যবহার করেছিলেন, এইভাবে পাণ্ডবদের জন্ম নিশ্চিত করেছিলেন: যুধিষ্ঠির, ভীম এবং অর্জুন।",,
পাঁচ পান্ডব কারা ছিলেন এবং তাদের মা কে ছিলেন?,"পাঁচ পাণ্ডব ছিলেন যুধিষ্ঠির (ধর্মের পুত্র), ভীম (বায়ুর পুত্র), অর্জুন (ইন্দ্রের পুত্র), নকুল এবং সহদেব (অশ্বিনী যমজের পুত্র)। কুন্তী ছিলেন যুধিষ্ঠির, ভীম ও অর্জুনের মা, আর মাদ্রী ছিলেন নকুল ও সহদেবের মা।",,
দ্রোণ কীভাবে কৌরব ও পাণ্ডব রাজকুমারদের শিক্ষক হলেন?,উন্নত সামরিক দক্ষতা প্রদানের জন্য দ্রোণকে তাদের শিক্ষক হিসাবে নিযুক্ত করা হয়েছিল।,,
কি কারণে অর্জুন ও কর্ণের মধ্যে শত্রুতা হয়েছিল?,"কর্ণ, প্রাথমিকভাবে একজন অজানা যোদ্ধা, দ্রৌপদীর স্বয়ম্বরে অর্জুনকে চ্যালেঞ্জ করেছিলেন। কর্ণের অসন্তোষ তার রাজকীয় রক্ত ​​সত্ত্বেও তার নিম্ন লালন-পালন থেকে উদ্ভূত হয়েছিল এবং কর্ণের প্রতি দুর্যোধনের সমর্থন প্রতিদ্বন্দ্বিতাকে আরও গভীর করে তোলে।",,
পাণ্ডবদের জীবনে দ্রৌপদীর ভূমিকা কী ছিল?,দ্রৌপদী তার স্বয়ম্বর সম্পর্কে ভুল বোঝাবুঝির কারণে পাঁচ পাণ্ডবেরই সাধারণ স্ত্রী হয়েছিলেন। কৌরব দরবারে তার অপমান ছিল একটি গুরুত্বপূর্ণ ঘটনা যা মহান যুদ্ধের দিকে নিয়ে যায়।,,
যুধিষ্ঠির ও দুর্যোধনের মধ্যে পাশা খেলার সময় কী ঘটেছিল?,"যুধিষ্ঠির তার রাজ্য, ভাই এবং দ্রৌপদী সহ দুর্যোধনের কাছে সবকিছু হারিয়েছিলেন, যা পাণ্ডবদের নির্বাসনে নিয়ে যায়।",,
পাণ্ডবরা কীভাবে নির্বাসনে এবং ছদ্মবেশে শেষ হয়েছিল?,পাণ্ডবদের নির্বাসনে পাঠানো হয়েছিল এবং পাশা খেলার ফলাফলের অংশ হিসাবে ছদ্মবেশী জীবনযাপন করেছিল যেখানে তারা সবকিছু হারিয়েছিল।,,
কুরুক্ষেত্র যুদ্ধের উদ্দেশ্য ও তাৎপর্য কী ছিল?,কুরুক্ষেত্র যুদ্ধ ছিল পাণ্ডব ও কৌরবদের মধ্যে পাণ্ডবদের ন্যায্য রাজ্য পুনরুদ্ধার করতে এবং দুই দলের মধ্যে গভীর শত্রুতা নিরসনের জন্য একটি সিদ্ধান্তমূলক যুদ্ধ।,,
যুদ্ধক্ষেত্রে অর্জুনের নৈতিক দ্বিধা কী ছিল এবং কৃষ্ণ কীভাবে তা সমাধান করেছিলেন?,"অর্জুন তার নিজের আত্মীয়দের সাথে যুদ্ধ করার বিষয়ে সন্দেহ ও দুঃখে পরিপূর্ণ ছিলেন। কৃষ্ণ, তাঁর সারথি, ভগবদ্গীতায় আধ্যাত্মিক জ্ঞান দিয়েছেন, কর্তব্য (ধর্ম), ধার্মিকতা এবং জীবনের অস্থিরতার উপর জোর দিয়েছেন।",,
"ভীষ্ম, দ্রোণ ও কর্ণ কীভাবে যুদ্ধে তাদের পরিণতি পূরণ করেছিলেন?",শিখণ্ডীর নির্দেশিত অর্জুনের তীর দ্বারা ভীষ্ম নিহত হন। দ্রোণকে হত্যা করা হয়েছিল তার পুত্র অশ্বত্থামাকে মৃত বলে বিশ্বাস করার জন্য। কর্ণ অর্জুন তার আসল উত্তরাধিকার জানতে পেরে তাকে হত্যা করেছিলেন।,,
পাণ্ডবদের জন্য কুরুক্ষেত্র যুদ্ধের প্রধান ফলাফল ও পরিণতি কী ছিল?,পান্ডবরা বিজয়ী হয়েছিলেন কিন্তু তাদের পুত্র এবং অসংখ্য যোদ্ধার মৃত্যু সহ উল্লেখযোগ্য ক্ষয়ক্ষতি সহ। যুধিষ্ঠির সিংহাসনে আরোহণ করলেও গভীর শোক ও অপরাধবোধে রয়ে গেলেন।,,
