question,ground_truth,contexts,answer,faithfulness,answer_correctness
মহাভারতের শুরুতে হস্তিনাপুরের শাসক কে ছিলেন?,রাজা শান্তনু।,"['হস্তিনাপুরের প্রাচীন রাজ্যে, একটি মহান মহাকাব্য উদ্ভাসিত হয়েছিল, যা বিশ্বের ভাগ্যকে রূপ দেবে এবং'
 'অঙ্গের রাজার মুকুট পরিয়েছিলেন।']",উত্তর: মহাভারতের শুরুতে হস্তিনাপুরের শাসক অঙ্গের রাজা ছিলেন।,0.0,0.8180585818604236
ভীষ্ম কী ব্রত নিয়েছিলেন এবং কেন?,ভীষ্ম তার পিতার সুখ নিশ্চিত করতে এবং তার পিতা শান্তনুকে সত্যবতীকে বিয়ে করার অনুমতি দেওয়ার জন্য ব্রহ্মচর্যের ব্রত নিয়েছিলেন।,"['যা পরে ভীষ্ম নামে পরিচিত হয়। ভীষ্ম তার পিতার সুখ নিশ্চিত করার জন্য ব্রহ্মচর্যের ব্রত নিয়েছিলেন,'
 'রক্ষার ব্রত দ্বারা আবদ্ধ ভীষ্ম বীরত্বের সাথে যুদ্ধ করেছিলেন কিন্তু শিখণ্ডীর দ্বারা পরিচালিত']",ভীষ্ম ব্রহ্মচর্যের ব্রত নিয়েছিলেন তার পিতার সুখ নিশ্চিত করার জন্য।,1.0,0.6181013854852051
রাজা শান্তনু ও সত্যবতীর পুত্র কারা ছিলেন?,চিত্রাঙ্গদা ও বিচিত্রবীর্য।,"['অঙ্গের রাজার মুকুট পরিয়েছিলেন।'
 'রাজা শান্তনু শাসিত কুরু রাজবংশের সাথে গল্পটি শুরু হয়েছিল। শান্তনু নদী দেবী গঙ্গার সাথে বিবাহ']",সত্যবতীর পুত্র ছিলেন ভীষ্ম।,0.0,0.2160266737293779
ধৃতরাষ্ট্র ও পাণ্ডুর অস্তিত্ব কীভাবে হয়েছিল?,"ধৃতরাষ্ট্র এবং পাণ্ডুর জন্ম নিয়োগের মাধ্যমে, একটি অনুশীলন যেখানে ব্যাস বিচিত্রবীর্যের মৃত্যুর কারণে রাণী অম্বিকা এবং অম্বালিকার সাথে সন্তানের জন্ম দিয়েছিলেন।","['ধার্মিকতা এবং জীবনের অস্থিরতার উপর জোর দিয়েছিলেন।'
 'তাদের নির্বাসন এবং ছদ্মবেশী সময়ের পরে, পান্ডবরা তাদের রাজ্য ফিরে চেয়েছিল। কূটনৈতিক প্রচেষ্টা']",উত্তর: ধৃতরাষ্ট্র ও পাণ্ডুর অস্তিত্ব হয়েছিল ধর্মিকতা এবং জীবনের অস্থিরতার উপর জোর দিয়ে।,,0.21951183076293374
মহাভারতে কুন্তীর ঐশ্বরিক আশীর্বাদের তাৎপর্য কী ছিল?,"কুন্তী দেবতাদের থেকে পুত্র সন্তান জন্ম দেওয়ার জন্য ঐশ্বরিক বর ব্যবহার করেছিলেন, এইভাবে পাণ্ডবদের জন্ম নিশ্চিত করেছিলেন: যুধিষ্ঠির, ভীম এবং অর্জুন।","['ও কৌরবদের মধ্যে মহাকাব্যিক অনুপাতের যুদ্ধ।'
 'ধার্মিকতা এবং জীবনের অস্থিরতার উপর জোর দিয়েছিলেন।']",ঐশ্বরিক আশীর্বাদের তাৎপর্য ছিল মহাভারতে ধার্মিকতা এবং জীবনের অস্থিরতার উপর জোর দেওয়া।,1.0,0.22458247391875072
পাঁচ পান্ডব কারা ছিলেন এবং তাদের মা কে ছিলেন?,"পাঁচ পাণ্ডব ছিলেন যুধিষ্ঠির (ধর্মের পুত্র), ভীম (বায়ুর পুত্র), অর্জুন (ইন্দ্রের পুত্র), নকুল এবং সহদেব (অশ্বিনী যমজের পুত্র)। কুন্তী ছিলেন যুধিষ্ঠির, ভীম ও অর্জুনের মা, আর মাদ্রী ছিলেন নকুল ও সহদেবের মা।","['নকুল ও সহদেবের জন্ম দেন। এই পাঁচজনই ছিলেন পাণ্ডব।'
 'তাদের নির্বাসন এবং ছদ্মবেশী সময়ের পরে, পান্ডবরা তাদের রাজ্য ফিরে চেয়েছিল। কূটনৈতিক প্রচেষ্টা']","পাঁচ পান্ডব ছিলেন নকুল, সহদেব, যুধিষ্ঠির, ভীম এবং অর্জুন। তাদের মা কুন্তী ছিলেন।",0.5,0.5094987974535559
দ্রোণ কীভাবে কৌরব ও পাণ্ডব রাজকুমারদের শিক্ষক হলেন?,উন্নত সামরিক দক্ষতা প্রদানের জন্য দ্রোণকে তাদের শিক্ষক হিসাবে নিযুক্ত করা হয়েছিল।,"['রাজকুমারদের বয়স হওয়ার সাথে সাথে দ্রোণ, উন্নত সামরিক শিল্পে পারদর্শী, তাদের শিক্ষক নিযুক্ত হন।'
 'ধর্ম সম্পর্কে গভীর শিক্ষা দিয়েছিলেন।']",দ্রোণ কৌরব ও পাণ্ডব রাজকুমারদের শিক্ষক হিসেবে তাদের উন্নত সামরিক শিল্পে পারদর্শী হিসেবে নিযুক্ত হন এবং ধর্ম সম্পর্কে গভীর শিক্ষা দিয়েছিলেন।,0.3333333333333333,0.6587608947528821
কি কারণে অর্জুন ও কর্ণের মধ্যে শত্রুতা হয়েছিল?,"কর্ণ, প্রাথমিকভাবে একজন অজানা যোদ্ধা, দ্রৌপদীর স্বয়ম্বরে অর্জুনকে চ্যালেঞ্জ করেছিলেন। কর্ণের অসন্তোষ তার রাজকীয় রক্ত ​​সত্ত্বেও তার নিম্ন লালন-পালন থেকে উদ্ভূত হয়েছিল এবং কর্ণের প্রতি দুর্যোধনের সমর্থন প্রতিদ্বন্দ্বিতাকে আরও গভীর করে তোলে।","['শিক্ষক নিযুক্ত হন। অর্জুন, তৃতীয় পান্ডব, \u200b\u200bতার অতুলনীয় দক্ষতার কারণে দ্রোণের প্রিয় হয়ে ওঠেন।'
 'প্রিয় হয়ে ওঠেন। অর্জুনের পরাক্রমের প্রতি দুর্যোধনের ঈর্ষান্বিত হয়ে বিবাদের বীজ বপন করে।']",অর্জুনের পরাক্রমের প্রতি দুর্যোধনের ঈর্ষান্বিত হয়ে বিবাদের বীজ বপন করার কারণে অর্জুন ও কর্ণের মধ্যে শত্রুতা হয়েছিল।,0.0,0.4386933498075596
পাণ্ডবদের জীবনে দ্রৌপদীর ভূমিকা কী ছিল?,দ্রৌপদী তার স্বয়ম্বর সম্পর্কে ভুল বোঝাবুঝির কারণে পাঁচ পাণ্ডবেরই সাধারণ স্ত্রী হয়েছিলেন। কৌরব দরবারে তার অপমান ছিল একটি গুরুত্বপূর্ণ ঘটনা যা মহান যুদ্ধের দিকে নিয়ে যায়।,"['ধার্মিকতা এবং জীবনের অস্থিরতার উপর জোর দিয়েছিলেন।'
 'বিয়েতে দ্রৌপদীর হাত জিতেছিলেন। দ্রৌপদী, একটি ভুল বোঝাবুঝির মাধ্যমে, তাদের বন্ধনকে সম্মান জানিয়ে']",দ্রৌপদী পাণ্ডবদের জীবনে একটি গুরুত্বপূর্ণ ভূমিকা পেরিয়েছিল। বিয়েতে দ্রৌপদীর হাত জিতেছিলেন এবং তার মাধ্যমে তাদের বন্ধনকে সম্মান জানানো হয়।,0.3333333333333333,0.22865868294783448
যুধিষ্ঠির ও দুর্যোধনের মধ্যে পাশা খেলার সময় কী ঘটেছিল?,"যুধিষ্ঠির তার রাজ্য, ভাই এবং দ্রৌপদী সহ দুর্যোধনের কাছে সবকিছু হারিয়েছিলেন, যা পাণ্ডবদের নির্বাসনে নিয়ে যায়।","['মহৎ নগরীতে বিকশিত করেছিল। তাদের সমৃদ্ধি দুর্যোধনের হিংসা বাড়িয়ে দেয়। পাশা খেলার সময়, যুধিষ্ঠির'
 'সময়, যুধিষ্ঠির তার রাজ্য, ভাই এবং দ্রৌপদী সহ সবকিছু হারিয়েছিলেন দুর্যোধনের কাছে। কৌরব দরবারে']",যুধিষ্ঠির ও দুর্যোধনের মধ্যে পাশা খেলার সময় তাদের সমৃদ্ধি দুর্যোধনের হিংসা বাড়িয়ে দেয়।,0.0,0.22995922902060073
