question,ground_truth,contexts,answer,faithfulness,answer_correctness
महाभारत की शुरुआत में हस्तिनापुर का शासक कौन था?  ,राजा शांतनु।,"['हस्तिनापुर के प्राचीन साम्राज्य में एक महान महाकाव्य सामने आ रहा था, जो दुनिया की नियति को आकार देने'
 'महाभारत था, संघर्ष, कर्तव्य, धर्म और भाग्य की कहानी।']",महाभारत की शुरुआत में हस्तिनापुर का शासक धृतराष्ट्र था।,1.0,0.21054950436768677
भीष्म ने क्या प्रतिज्ञा ली और क्यों?,भीष्म ने अपने पिता की खुशी सुनिश्चित करने और अपने पिता शांतनु को सत्यवती से विवाह करने की अनुमति देने के लिए ब्रह्मचर्य की शपथ ली।,"['थी। भीष्म, द्रोण और विदुर जैसे ज्येष्ठों ने कृष्ण के साथ मिलकर युधिष्ठिर को ज्ञान प्रदान किया,'
 'में भीष्म के नाम से जाना गया। भीष्म ने अपने पिता की खुशी सुनिश्चित करने के लिए ब्रह्मचर्य की शपथ']",भीष्म ने अपने पिता की खुशी सुनिश्चित करने के लिए ब्रह्मचर्य की शपथ ली थी।,1.0,0.2429632191816271
राजा शांतनु और सत्यवती के पुत्र कौन थे?,चित्रांगदा और विचित्रवीर्य।,"['कहानी कुरु वंश से शुरू होती है, जिस पर राजा शांतनु का शासन था। शांतनु ने नदी देवी गंगा से विवाह'
 'का राजा बना दिया, जिससे उनका रिश्ता मजबूत हो गया।']",भीष्म और चित्रांगद राजा शांतनु और सत्यवती के पुत्र थे।,0.5,0.2233129376493671
धृतराष्ट्र और पांडु कैसे अस्तित्व में आए?,"धृतराष्ट्र और पांडु नियोग के माध्यम से पैदा हुए थे, एक प्रथा जिसके तहत व्यास ने विचित्रवीर्य की मृत्यु के कारण रानियों अंबिका और अंबालिका के साथ बच्चों को जन्म दिया था।","['पर जोर देते हुए गहन आध्यात्मिक ज्ञान प्रदान किया।'
 'सारथी और विष्णु के अवतार थे, ने कर्तव्य, धार्मिकता और जीवन की नश्वरता पर जोर देते हुए गहन']","धृतराष्ट्र और पांडु को संदर्भ में सारथी और विष्णु के अवतार बताया गया है जो कर्तव्य, धार्मिकता और जीवन की नश्वरता पर जोर देते हुए गहन आध्यात्मिक ज्ञान प्रदान किया। इसके आधार पर धृतराष्ट्र और पांडु को अस्तित्व में आने का जिक्र है।",0.25,0.22363735375722024
महाभारत में कुंती के दिव्य वरदानों का क्या महत्व था?,"कुंती ने देवताओं से पुत्रों को जन्म देने के लिए दिव्य वरदानों का उपयोग किया, इस प्रकार पांडवों का जन्म सुनिश्चित हुआ: युधिष्ठिर, भीम और अर्जुन।","['महाभारत था, संघर्ष, कर्तव्य, धर्म और भाग्य की कहानी।'
 'नियति को आकार देने वाला था और कालातीत सबक प्रदान करने वाला था। यह महाकाव्य महाभारत था, संघर्ष,']","सवाल: महाभारत में कुंती के दिव्य वरदानों का क्या महत्व था?

उत्तर: कुंती के दिव्य वरदानों का महत्व महाभारत के कहानी में बहुत अधिक था। इन वरदानों के कारण ही पांडव और कौरव भाइयों के बीच युद्ध हुआ और महाभारत की कहानी का आरम्भ हुआ। कुंती के दिव्य वरदानों ने कई घटनाओं को प्रेरित किया और प्रमुख पात्रों के जीवन में महत्वपूर्ण भूमिका निभाई।",1.0,0.21953746920848966
पाँच पांडव कौन थे और उनकी माताएँ कौन थीं? ,"पाँच पांडव युधिष्ठिर (धर्म के पुत्र), भीम (वायु के पुत्र), अर्जुन (इंद्र के पुत्र), नकुल और सहदेव (अश्विनी के जुड़वाँ पुत्र) थे। कुंती युधिष्ठिर, भीम और अर्जुन की माँ थीं, जबकि माद्री नकुल और सहदेव की माँ थीं।","['उन्हें अपने बेटों के साथ पाला। कौरवों और पांडवों के बीच प्रतिद्वंद्विता तीव्र हो गई, खासकर दुर्योधन'
 'से नकुल और सहदेव को जन्म दिया। ये पाँच पांडव थे।']","पाँच पांडव थे: युधिष्ठिर, भीम, अर्जुन, नकुल और सहदेव। उनकी माताएँ कौन थीं, इसके बारे में संदर्भ में कोई जानकारी नहीं दी गई है। इसलिए मुझे नहीं पता।",0.3333333333333333,0.6700988803964442
द्रोण कौरव और पांडव राजकुमारों के गुरु कैसे बने? ,द्रोण को उन्नत सैन्य कौशल प्रदान करने के लिए उनका शिक्षक नियुक्त किया गया था।,"['उन्हें अपने बेटों के साथ पाला। कौरवों और पांडवों के बीच प्रतिद्वंद्विता तीव्र हो गई, खासकर दुर्योधन'
 'जैसे-जैसे राजकुमार बड़े होते गए, उन्नत सैन्य कलाओं के विशेषज्ञ द्रोण को उनका शिक्षक नियुक्त किया']",द्रोण को कौरव और पांडव राजकुमारों के गुरु नियुक्त किया गया था। उन्हें उनके पिता ने शिक्षक के रूप में नियुक्त किया था।,0.5,0.22987491362675513
अर्जुन और कर्ण के बीच प्रतिद्वंद्विता का कारण क्या था?,"कर्ण, जो शुरू में एक अज्ञात योद्धा था, ने द्रौपदी के स्वयंवर में अर्जुन को चुनौती दी। कर्ण की नाराजगी उसके शाही खून के बावजूद उसके निम्न पालन-पोषण से उपजी थी, और दुर्योधन द्वारा कर्ण का समर्थन करने से प्रतिद्वंद्विता और भी गहरी हो गई।","['प्रिय बन गए। अर्जुन के पराक्रम से दुर्योधन की ईर्ष्या बढ़ती गई और कलह के बीज बोने लगे।'
 'शिक्षक नियुक्त किया गया। तीसरे पांडव अर्जुन अपने बेजोड़ कौशल के कारण द्रोण के प्रिय बन गए। अर्जुन']","संदर्भ के आधार पर, अर्जुन के पराक्रम से दुर्योधन की ईर्ष्या बढ़ती गई और कलह के बीज बोने लगे इसलिए अर्जुन और कर्ण के बीच प्रतिद्वंद्विता का कारण दुर्योधन की ईर्ष्या थी।",,0.22416834199622246
पांडवों के जीवन में द्रौपदी की क्या भूमिका थी?,"द्रौपदी अपने स्वयंवर में हुई गलतफहमी के कारण सभी पाँच पांडवों की आम पत्नी बन गई। कौरव दरबार में उसका अपमान एक महत्वपूर्ण घटना थी, जिसके कारण महान युद्ध हुआ।","['सारथी और विष्णु के अवतार थे, ने कर्तव्य, धार्मिकता और जीवन की नश्वरता पर जोर देते हुए गहन'
 'थी। भीष्म, द्रोण और विदुर जैसे ज्येष्ठों ने कृष्ण के साथ मिलकर युधिष्ठिर को ज्ञान प्रदान किया,']",द्रौपदी पांडवों की पत्नी थी और उनकी एक महत्वपूर्ण साथी थी। उन्होंने पांडवों के साथ संग्राम में भाग लिया और धर्म की रक्षा की। उन्होंने अपमान सहन करके भी अपने पतियों के लिए न्याय की मांग की और उन्हें सहायता प्रदान की। उनकी भूमिका महत्वपूर्ण थी जो पांडवों के जीवन में एक महत्वपूर्ण स्थान रखती थी।,0.0,0.8779598079065041
युधिष्ठिर और दुर्योधन के बीच पासा के खेल के दौरान क्या हुआ? ,"युधिष्ठिर ने अपना राज्य, भाई और द्रौपदी सहित दुर्योधन के हाथों अपना सब कुछ खो दिया, जिसके कारण पांडवों को वनवास जाना पड़ा।","['दिया। पासा के एक भाग्यपूर्ण खेल के दौरान, युधिष्ठिर ने अपना राज्य, भाई और द्रौपदी सहित सब कुछ'
 'गई, खासकर दुर्योधन और भीम के बीच।']","युधिष्ठिर ने पासा के एक भाग्यपूर्ण खेल के दौरान अपना राज्य, भाई और द्रौपदी सहित सब कुछ हार दिया। इसके बाद उनके और दुर्योधन के बीच विवाद हुआ।",0.75,0.7361800880422732
